scene,method,trial,checkpoint,gaussian_count,success,collision,collision_free,stop_reason,min_safety_h,min_safety_h_note,goal_distance_reduction_ratio,initial_goal_distance,final_goal_distance,closest_goal_distance,closest_goal_step,num_steps,runtime_mean,runtime_p95,intervention_rate,control_deviation_mean,control_deviation_max,active_constraints_mean,active_constraints_p95,qp_infeasible_count,seconds_total,error,success_definition,ablation_id,topk,h_critical,risk_score
stonehenge,risk_aware_topk_v0,1,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008069268660619,official GSplatLoader.query_distance safety h value; not meters,0.1968796597737554,0.7840896733951637,0.6297183652650088,0.6297183652650088,114,114,0.0604701235955744,0.0682555447332561,0.9824561403508772,0.067082471717309,0.1060621291399002,265.4824561403509,300.0,0,9.11385341733694,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False,B_topk300_h0006_hybrid,300,0.0006,risk_v2_hybrid
stonehenge,risk_aware_topk_v0,2,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0013136969646438,official GSplatLoader.query_distance safety h value; not meters,0.1934798060264695,0.7842325773112758,0.6324994103734519,0.6324994103734519,104,104,0.0605856356067726,0.0737521386705339,0.9903846153846154,0.0654580473514775,0.0872726887464523,295.7980769230769,300.0,0,8.242181280627847,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False,B_topk300_h0006_hybrid,300,0.0006,risk_v2_hybrid
stonehenge,risk_aware_topk_v0,3,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008008611621335,official GSplatLoader.query_distance safety h value; not meters,0.2279667459204304,0.7842277798056816,0.6054499247829765,0.6054499247829765,123,123,0.05898702456578,0.0685711342841386,0.991869918699187,0.0658127882941891,0.0878600925207138,316.0487804878049,423.6999999999997,0,9.37279937788844,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False,B_topk300_h0006_hybrid,300,0.0006,risk_v2_hybrid
stonehenge,risk_aware_topk_v0,4,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008385840337723,official GSplatLoader.query_distance safety h value; not meters,0.8193101644339005,0.784082025527739,0.1416756522629414,0.1416756522629414,357,357,0.0592618826046293,0.0661470778286457,0.9523809523809524,0.039236022174463,0.0786383524537086,261.7422969187675,300.0,0,27.21283737011254,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False,B_topk300_h0006_hybrid,300,0.0006,risk_v2_hybrid
stonehenge,risk_aware_topk_v0,5,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0007147254655137,official GSplatLoader.query_distance safety h value; not meters,0.2914677467627995,0.7840002568014284,0.5554894684900599,0.5554894684900599,170,170,0.060923032122938,0.0655138982459902,0.9588235294117649,0.0646292499785652,0.0978932082653045,301.1058823529412,300.0,0,13.29515702649951,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False,B_topk300_h0006_hybrid,300,0.0006,risk_v2_hybrid
stonehenge,risk_aware_topk_v0,6,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0005385840777307,official GSplatLoader.query_distance safety h value; not meters,0.5703917540879537,0.7840974736682284,0.3368547402866744,0.3368547402866744,243,243,0.0599141347034232,0.0666386378929018,0.9218106995884774,0.0575189385038907,0.1121610328555107,278.77366255144034,300.0,0,18.73923697695136,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False,B_topk300_h0006_hybrid,300,0.0006,risk_v2_hybrid
stonehenge,risk_aware_topk_v0,7,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008742081699892,official GSplatLoader.query_distance safety h value; not meters,0.5912356048862837,0.7842369518727405,0.3205681432580854,0.3205681432580854,225,225,0.0592052755753199,0.0669106245040893,0.8933333333333333,0.0475596611162659,0.0873894542455673,285.0,300.0,0,17.179509861394763,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False,B_topk300_h0006_hybrid,300,0.0006,risk_v2_hybrid
stonehenge,risk_aware_topk_v0,8,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0006320523098111,official GSplatLoader.query_distance safety h value; not meters,0.8225472634165214,0.7842225786662452,0.1391624426748774,0.1391624426748774,331,331,0.0588497853418671,0.0670922268182039,0.9274924471299094,0.0476610633905531,0.0833826214075088,281.17220543806644,300.0,0,25.2552557438612,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False,B_topk300_h0006_hybrid,300,0.0006,risk_v2_hybrid
stonehenge,risk_aware_topk_v0,9,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0011710356920957,official GSplatLoader.query_distance safety h value; not meters,0.7953131100700855,0.7840745608661205,0.1604897833368495,0.1604897833368495,303,303,0.059603975870625,0.0684052677825093,0.9075907590759076,0.0467731373617096,0.0901410728693008,292.87458745874585,300.0,0,23.34510834887624,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False,B_topk300_h0006_hybrid,300,0.0006,risk_v2_hybrid
stonehenge,risk_aware_topk_v0,10,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0005090673221275,official GSplatLoader.query_distance safety h value; not meters,0.6669695983256049,0.7840010261711613,0.2610961766589197,0.2610961766589197,264,264,0.0619686712708437,0.0698083787225186,0.9772727272727272,0.0688504857505999,0.1173029616475105,297.1401515151515,300.0,0,21.0681378338486,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False,B_topk300_h0006_hybrid,300,0.0006,risk_v2_hybrid
