scene,method,trial,checkpoint,gaussian_count,success,collision,collision_free,stop_reason,min_safety_h,min_safety_h_note,goal_distance_reduction_ratio,initial_goal_distance,final_goal_distance,closest_goal_distance,closest_goal_step,num_steps,runtime_mean,runtime_p95,intervention_rate,control_deviation_mean,control_deviation_max,active_constraints_mean,active_constraints_p95,qp_infeasible_count,seconds_total,error,success_definition
flight,safer_splat_filter,5,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.0011001419043168426,official GSplatLoader.query_distance safety h value; not meters,0.269801344335958,0.545013298855544,0.39796797814334295,0.39796797814334295,95,95,0.11442994371448692,0.12073465026915073,0.8421052631578947,0.059819330546246746,0.12269622087478638,213.8421052631579,277.0,0,12.623420292511582,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,safer_splat_filter,6,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.0007961421506479383,official GSplatLoader.query_distance safety h value; not meters,0.28894299568203985,0.5500250318524896,0.3910991514489219,0.3910991514489219,110,110,0.1169623834673654,0.12790980292484164,0.9,0.06773333010438194,0.11953272670507431,223.3,275.0,0,14.875487931072712,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,safer_splat_filter,7,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.0005112328799441457,official GSplatLoader.query_distance safety h value; not meters,0.31506034402676125,0.5571377572695031,0.38160574379387524,0.38160574379387524,131,131,0.11437920008906881,0.12276896741241217,0.9236641221374046,0.07920963754219082,0.11999354511499405,234.25954198473283,286.5,0,17.355271579697728,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,safer_splat_filter,8,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.0009239447535946965,official GSplatLoader.query_distance safety h value; not meters,0.3124065604112429,0.5564089359793438,0.3825831341079576,0.3825831341079576,119,119,0.11254657077125642,0.12414934653788805,0.9327731092436975,0.0783883630714853,0.11829362064599991,239.7983193277311,271.1,0,15.560136459767818,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,safer_splat_filter,9,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.0005074029322713614,official GSplatLoader.query_distance safety h value; not meters,0.30630564526714776,0.5488478950550748,0.3807326864067143,0.3807326864067143,128,128,0.12102263084670994,0.13006922788918018,0.953125,0.08459564226106533,0.11735021322965622,233.5859375,260.65,0,17.825483828783035,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,safer_splat_filter,10,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.0007119100773707032,official GSplatLoader.query_distance safety h value; not meters,0.20719725950624357,0.5450531399300607,0.432119623051279,0.432119623051279,83,83,0.11924067723104753,0.13150086477398873,0.927710843373494,0.08274547025082879,0.11912406235933304,242.6987951807229,294.0,0,11.450816893950105,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,safer_splat_filter,11,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.000669551664032042,official GSplatLoader.query_distance safety h value; not meters,0.21599415662516303,0.5504314063721274,0.43154143897277736,0.43154143897277736,91,91,0.11971553683199071,0.13341294042766094,0.967032967032967,0.09136844299555559,0.12337613850831985,233.8901098901099,325.0,0,12.546353794634342,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,safer_splat_filter,12,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.00034141039941459894,official GSplatLoader.query_distance safety h value; not meters,0.35840577549122904,0.5573370750545091,0.3575842484595845,0.3575842484595845,167,167,0.11638094406731114,0.14019345566630362,0.9880239520958084,0.10181774546975873,0.12047290802001953,192.11976047904193,330.7,0,22.5059608630836,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,safer_splat_filter,13,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.0003255571937188506,official GSplatLoader.query_distance safety h value; not meters,0.35592141116663567,0.5561255426533522,0.3581885547263601,0.3581885547263601,179,179,0.11600301998495723,0.1355215035378933,0.994413407821229,0.1078133645780739,0.13364256918430328,192.03351955307264,338.0,0,24.083340045064688,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,safer_splat_filter,14,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,False,True,stopped_before_goal,0.00034176651388406754,official GSplatLoader.query_distance safety h value; not meters,0.09549308736293693,0.548474838312239,0.49609928266091563,0.49609928266091563,70,70,0.12157776696341378,0.15233437595888968,1.0,0.12219446416545127,0.141562357544899,311.4428571428571,367.0,0,9.807258684188128,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
