scene,method,trial,checkpoint,gaussian_count,success,feasible,collision,min_safety_h,min_safety_h_note,path_length,num_steps,stop_reason,runtime_mean,runtime_p95,intervention_rate,control_deviation_mean,control_deviation_max,active_constraints_mean,active_constraints_p95,qp_infeasible_count,seconds_total,error,start_x,start_y,start_z,goal_x,goal_y,goal_z,final_x,final_y,final_z,initial_goal_distance,final_goal_distance,goal_distance_reduction,goal_distance_reduction_ratio,closest_goal_distance,closest_goal_step,reached_goal_tolerance,goal_distance_final,max_steps,goal_tolerance,success_definition,radius,dt,distance_type
stonehenge,no_filter,0,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,True,-0.00022564719256479293,official GSplatLoader.query_distance safety h value; not meters,0.7957420349121094,343,stopped_before_goal,2.0695372373300114e-05,2.537732943892477e-05,0.0,0.0,0.0,0.0,0.0,0,5.730440065264702,,0.312,-0.03,0.05,-0.47200000000000003,-0.02999999999999995,0.05,-0.47862982749938965,-0.029999999329447746,0.05000000074505806,0.784,0.006629827499389693,0.7773701725006104,0.9915435873732275,0.0008072526454932067,324,True,0.006629827499389693,800,0.001,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False; max_steps timeout follows run.py loose success behavior,0.015,0.05,ball-to-ellipsoid
stonehenge,no_filter,14,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,True,-0.00023171832435764372,official GSplatLoader.query_distance safety h value; not meters,0.829846203327179,273,stopped_before_goal,2.1151529672818306e-05,3.0396319925785054e-05,0.0,0.0,0.0,0.0,0.0,0,4.721221396699548,,0.16717664549713285,0.2742494140023687,0.05513677391573406,-0.32717664549713277,-0.33424941400236874,0.04486322608426595,-0.32757332921028137,-0.34076279401779175,0.04486318305134773,0.7840673094735207,0.006525448428686034,0.7775418610448346,0.991677438467537,0.0021277844996033086,254,False,0.006525448428686034,800,0.001,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False; max_steps timeout follows run.py loose success behavior,0.015,0.05,ball-to-ellipsoid
stonehenge,no_filter,15,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,True,-0.00022531926515512168,official GSplatLoader.query_distance safety h value; not meters,0.8415907621383667,285,stopped_before_goal,2.1590217294400197e-05,3.17055732011795e-05,0.0,0.0,0.0,0.0,0.0,0,4.904389637522399,,0.1473823085519097,0.28931377320373164,0.049049439566958175,-0.30738230855190973,-0.3493137732037316,0.05095056043304183,-0.3073219060897827,-0.3558570146560669,0.050950564444065094,0.7840023050097159,0.006543520242270688,0.7774587847674452,0.9916536976990271,0.0007872110290699281,266,True,0.006543520242270688,800,0.001,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False; max_steps timeout follows run.py loose success behavior,0.015,0.05,ball-to-ellipsoid
stonehenge,no_filter,16,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,True,-0.00022685853764414787,official GSplatLoader.query_distance safety h value; not meters,0.8545882105827332,296,stopped_before_goal,2.0944428428806163e-05,3.0459370464086533e-05,0.0,0.0,0.0,0.0,0.0,0,5.028939915820956,,0.12667238330331693,0.3030923685402096,0.04333230999483709,-0.28667238330331707,-0.36309236854020954,0.05666769000516292,-0.28667232394218445,-0.36964893341064453,0.05666767805814743,0.7841134052928949,0.006556564870714592,0.7775568404221803,0.9916382441283919,0.000599008280016751,277,True,0.006556564870714592,800,0.001,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False; max_steps timeout follows run.py loose success behavior,0.015,0.05,ball-to-ellipsoid
stonehenge,no_filter,17,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,True,-0.00022499995247926563,official GSplatLoader.query_distance safety h value; not meters,0.8646126389503479,306,stopped_before_goal,2.1463999634279925e-05,3.146356903016567e-05,0.0,0.0,0.0,0.0,0.0,0,5.322961517609656,,0.10513026131089163,0.31552971847145217,0.04021197553785222,-0.26513026131089185,-0.375529718471452,0.05978802446214779,-0.26513582468032837,-0.38205721974372864,0.05978800728917122,0.7842443635063541,0.0065275036431202025,0.7777168598632339,0.9916766967709711,0.0004907770478996191,287,True,0.0065275036431202025,800,0.001,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False; max_steps timeout follows run.py loose success behavior,0.015,0.05,ball-to-ellipsoid
stonehenge,no_filter,18,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,True,-0.00022533349692821503,official GSplatLoader.query_distance safety h value; not meters,0.8670380115509033,314,stopped_before_goal,2.1137214105600004e-05,3.0873762443661673e-05,0.0,0.0,0.0,0.0,0.0,0,5.498903546482325,,0.08284268509673949,0.32657574217897123,0.04090368004645482,-0.24284268509673945,-0.3865757421789713,0.05909631995354519,-0.24283868074417114,-0.39357930421829224,0.05909630283713341,0.7842110507680883,0.0070035631841049275,0.7772074875839834,0.9910692878183172,0.00019546545379091346,296,True,0.0070035631841049275,800,0.001,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False; max_steps timeout follows run.py loose success behavior,0.015,0.05,ball-to-ellipsoid
stonehenge,no_filter,19,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,True,-0.0002255635045003146,official GSplatLoader.query_distance safety h value; not meters,0.8639720678329468,322,stopped_before_goal,2.1842050927211038e-05,3.174543380737304e-05,0.0,0.0,0.0,0.0,0.0,0,5.661891832016408,,0.059899398864013784,0.33618596122392186,0.04513803263899531,-0.21989939886401383,-0.3961859612239218,0.054861967361004696,-0.21990101039409637,-0.40301844477653503,0.05486195906996727,0.7840603005550516,0.006832483742668423,0.7772278168123832,0.9912857675132491,0.00035864487306650573,304,True,0.006832483742668423,800,0.001,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False; max_steps timeout follows run.py loose success behavior,0.015,0.05,ball-to-ellipsoid
stonehenge,no_filter,20,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,True,-0.00022123784583527595,official GSplatLoader.query_distance safety h value; not meters,0.8596463203430176,329,stopped_before_goal,2.1344452734051506e-05,3.072489053010939e-05,0.0,0.0,0.0,0.0,0.0,0,5.734133975580335,,0.03639278712868377,0.344321678646077,0.05126592453573749,-0.1963927871286839,-0.40432167864607693,0.04873407546426252,-0.196392223238945,-0.41086867451667786,0.048734068870544434,0.7840040881651835,0.006546995894888026,0.7774570922702955,0.9916492834747711,0.0005500400113826198,310,True,0.006546995894888026,800,0.001,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False; max_steps timeout follows run.py loose success behavior,0.015,0.05,ball-to-ellipsoid
stonehenge,no_filter,21,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,True,-0.00023618369596078992,official GSplatLoader.query_distance safety h value; not meters,0.8556898832321167,334,stopped_before_goal,2.1222967676773758e-05,2.762428484857078e-05,0.0,0.0,0.0,0.0,0.0,0,5.806893350556493,,0.012417502719695495,0.3509501347828283,0.056900790114821125,-0.17241750271969536,-0.4109501347828284,0.04309920988517888,-0.17241767048835754,-0.4176729619503021,0.04309922456741333,0.7841214724880547,0.006722827169583116,0.7773986453184716,0.9914262937498047,0.0006683662367454828,316,True,0.006722827169583116,800,0.001,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False; max_steps timeout follows run.py loose success behavior,0.015,0.05,ball-to-ellipsoid
stonehenge,no_filter,22,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,True,-0.00022501284547615796,official GSplatLoader.query_distance safety h value; not meters,0.8484904766082764,338,stopped_before_goal,2.1297862125042626e-05,3.1205872073769565e-05,0.0,0.0,0.0,0.0,0.0,0,5.845097141340375,,-0.011929914354563281,0.35604463918078555,0.059848077530122085,-0.1480700856454367,-0.4160446391807856,0.04015192246987792,-0.1480700671672821,-0.4228113889694214,0.0401519276201725,0.7842473707473664,0.006766749788662973,0.7774806209587034,0.9913716640424125,0.000544263312119535,320,True,0.006766749788662973,800,0.001,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False; max_steps timeout follows run.py loose success behavior,0.015,0.05,ball-to-ellipsoid
stonehenge,no_filter,23,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,True,-0.0002263226779177785,official GSplatLoader.query_distance safety h value; not meters,0.8342159986495972,341,stopped_before_goal,2.1062916980460943e-05,3.043748438358307e-05,0.0,0.0,0.0,0.0,0.0,0,5.7823808109387755,,-0.03655142563880365,0.35958467806881167,0.05895993774291337,-0.12344857436119641,-0.4195846780688116,0.04104006225708664,-0.12344853579998016,-0.42625388503074646,0.04104006662964821,0.7842047704123124,0.006669206962047762,0.7775355634502646,0.9914955797086757,0.0008200541591156116,323,True,0.006669206962047762,800,0.001,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False; max_steps timeout follows run.py loose success behavior,0.015,0.05,ball-to-ellipsoid
