scene,method,trial,step,time,x,y,z,goal_distance,goal_progress_delta,control_deviation,min_safety_h_step,active_constraints_count,runtime_step,qp_feasible,collision_step
stonehenge,safer_splat_filter,52,89,4.45,-0.4119796752929687,0.0112195760011672,0.0401014350354671,0.7193541526794434,0.0005233883857727051,0.11741553992033,0.0004387244989629,641,0.0608171075582504,True,False
stonehenge,safer_splat_filter,93,163,8.15,0.0905013009905815,0.0375419929623603,0.0565177761018276,0.540254533290863,0.0007723569869995117,0.1173972561955452,0.0006647912086918,398,0.0568848233669996,True,False
stonehenge,safer_splat_filter,33,46,2.3000000000000003,-0.2322153598070144,0.272615909576416,0.0392809696495533,0.73044353723526,0.0007733702659606934,0.1173885241150856,0.0012417515972629,590,0.0702149346470832,True,False
stonehenge,safer_splat_filter,92,167,8.35,0.0977872535586357,0.0201900284737348,0.0554889068007469,0.5449429154396057,0.0009871125221252441,0.1173770576715469,0.0006410148926079,365,0.0542342532426118,True,False
stonehenge,safer_splat_filter,96,6,0.3,0.3041175007820129,-0.1021466180682182,0.0424555502831935,0.7830164432525635,0.0003204345703125,0.1173676401376724,0.0008383938111364,527,0.0573464091867208,True,False
stonehenge,safer_splat_filter,93,162,8.1,0.091136947274208,0.0366030111908912,0.056812971830368,0.5410268902778625,0.0008045434951782227,0.1173550635576248,0.0006835879758,391,0.0564292557537555,True,False
stonehenge,safer_splat_filter,91,104,5.2,0.1520961970090866,-0.0896610841155052,0.0421045161783695,0.626772940158844,0.0006231069564819336,0.1173256784677505,0.000740548595786,615,0.0572139099240303,True,False
stonehenge,safer_splat_filter,10,264,13.2,-0.1583926975727081,-0.1534636914730072,0.050343632698059,0.26109579205513,0.0008255541324614923,0.1173029318451881,0.0005090779159218,437,0.058883199468255,True,False
stonehenge,safer_splat_filter,92,155,7.75,0.1066072061657905,0.0079748593270778,0.0538965798914432,0.556249737739563,0.0009391307830810547,0.1172655969858169,0.0006978799356147,427,0.0542431902140378,True,False
stonehenge,safer_splat_filter,56,57,2.85,-0.4097890853881836,-0.1332115530967712,0.0589853823184967,0.7364674806594849,0.0006891489028930664,0.1172270029783248,0.0004307616327423,599,0.0617229789495468,True,False
stonehenge,safer_splat_filter,93,161,8.05,0.0918028503656387,0.0356537848711013,0.0570838525891304,0.5418314337730408,0.0008348822593688965,0.1172209829092025,0.0007025123341009,398,0.0566192027181386,True,False
stonehenge,safer_splat_filter,82,7,0.35,0.1025085821747779,-0.3740648627281189,0.0569154247641563,0.7816508412361145,0.0005834698677062988,0.1172037050127983,0.0012967303628101,397,0.0562241654843091,True,False
stonehenge,safer_splat_filter,62,32,1.6,-0.3337942957878113,-0.2877455353736877,0.03885493054986,0.753724992275238,0.000821232795715332,0.1171367019414901,0.0011293936986476,693,0.0585142765194177,True,False
stonehenge,safer_splat_filter,96,15,0.75,0.302449107170105,-0.0950022414326667,0.0479482449591159,0.779971182346344,0.0003389716148376465,0.117093525826931,0.0007006245432421,487,0.065421188250184,True,False
stonehenge,safer_splat_filter,44,74,3.7,-0.4080875813961029,0.0312712751328945,0.0453850738704204,0.7233248949050903,0.0006553530693054199,0.1170375719666481,0.0003172545402776,627,0.0597218200564384,True,False
stonehenge,safer_splat_filter,92,152,7.6,0.1087689846754074,0.0049427985213696,0.0534472577273845,0.5590565204620361,0.0009309053421020508,0.1170260608196258,0.0007348982617259,441,0.0539510399103164,True,False
stonehenge,safer_splat_filter,93,160,8.0,0.0924965664744377,0.0346901752054691,0.0573295876383781,0.5426663160324097,0.0008632540702819824,0.116970770061016,0.0007211656775325,399,0.0569688417017459,True,False
stonehenge,safer_splat_filter,94,175,8.75,0.0863655060529708,0.0601278431713581,0.0511063188314437,0.5397559404373169,0.0004025101661682129,0.116958163678646,0.0007515718461945,383,0.0597710758447647,True,False
