trial,method,group,collision,success,goal_distance_reduction_ratio,min_safety_h,num_steps,trajectory_length,average_speed_proxy,closest_goal_distance,final_goal_distance,has_trajectory_samples,nearest_gaussian_distance_mean,nearest_gaussian_distance_min,nearby_gaussian_count_r005,nearby_gaussian_count_r010,nearby_gaussian_count_r020,nearby_opacity_mean,nearby_max_scale_mean,nearby_anisotropy_mean,nearby_volume_proxy_mean
55,no_filter,no_filter_collision,True,False,0.9914790071150379,-0.00022900162730365992,324,0.862861692905426,0.053263067463297904,0.0007873962065280305,0.006680712694220677,False,,,,,,,,,
56,no_filter,no_filter_collision,True,False,0.9910474864080039,-0.0002249036479042843,316,0.8666244745254517,0.05484965028642099,0.000251360946649322,0.007020353548245721,False,,,,,,,,,
57,no_filter,no_filter_collision,True,False,0.9914434615436147,-0.00023293665435630828,308,0.8658742904663086,0.05622560327703303,0.0007042301844103251,0.006710503644903568,False,,,,,,,,,
58,no_filter,no_filter_collision,True,False,0.9912048414516476,-0.000188123231055215,298,0.8572981357574463,0.057536787634727936,0.0001950646827145222,0.006896755759477881,False,,,,,,,,,
59,no_filter,no_filter_collision,True,False,0.9910344511662366,-0.00022484248620457947,287,0.8443388938903809,0.0588389473094342,0.00044903035321788886,0.00702913454561489,False,,,,,,,,,
60,no_filter,no_filter_collision,True,False,0.9915794898739528,-0.00022751626966055483,276,0.8324912190437317,0.06032545065534287,0.0012620556326892263,0.00660197665413381,False,,,,,,,,,
61,no_filter,no_filter_collision,True,False,0.991717892552129,-0.000205921838642098,264,0.821160614490509,0.06220913746140219,0.0027055280665374062,0.006494697559316088,False,,,,,,,,,
62,no_filter,no_filter_collision,True,False,0.9909909202828869,-0.0002288439281983301,254,0.8100827932357788,0.06378604671147864,0.004235420093680353,0.007065401929543319,False,,,,,,,,,
63,no_filter,no_filter_collision,True,False,0.9910432373776403,-0.00021311070304363966,266,0.8230326771736145,0.061882156178467256,0.0007879305082149354,0.007023406805660256,False,,,,,,,,,
64,no_filter,no_filter_collision,True,False,0.9915617983990128,-0.00023020752996671945,279,0.8352840542793274,0.05987699313830303,0.0007229290190993617,0.0066156545346346286,False,,,,,,,,,
65,no_filter,no_filter_collision,True,False,0.9911810723490949,-0.00019116114708594978,290,0.8477656841278076,0.05846659890536604,0.0001301554303049999,0.0069144009017914196,False,,,,,,,,,
66,no_filter,other,False,False,0.9915562153331426,0.0005809700815007091,301,0.8602334856987,0.05715837114277076,0.0007826399214280308,0.0066215425017649085,False,,,,,,,,,
67,no_filter,no_filter_collision,True,False,0.991262143400759,-0.00018203396757598966,310,0.8667255640029907,0.055917778322773594,0.00030197627486714914,0.0068526808811198775,False,,,,,,,,,
68,no_filter,no_filter_collision,True,False,0.9910755512617928,-0.0002295731974299997,318,0.8659223318099976,0.05446052401320739,0.00017690966937938148,0.006997996237472209,False,,,,,,,,,
69,no_filter,no_filter_collision,True,False,0.9910034755105701,-0.0002273342979606241,325,0.8612928986549377,0.05300263991722694,0.0003606037472024966,0.007053357398168354,False,,,,,,,,,
70,no_filter,no_filter_collision,True,False,0.9910672184595988,-0.00022674730280414224,331,0.8573723435401917,0.05180497544049496,0.00019583490534719452,0.007003721657922041,False,,,,,,,,,
71,no_filter,no_filter_collision,True,False,0.9912846743460149,-0.0002269654651172459,336,0.85277259349823,0.050760273422513685,0.00035262680476165823,0.006834542507613055,False,,,,,,,,,
72,no_filter,no_filter_collision,True,False,0.9916884618021967,-0.00022584137332160026,340,0.8425065875053406,0.049559211029725915,0.00046108291831897493,0.006518322963087174,False,,,,,,,,,
73,no_filter,no_filter_collision,True,False,0.9915348477235288,-0.0002261530316900462,342,0.8244174122810364,0.04821154457783838,0.0008318481174463662,0.006637776164034007,False,,,,,,,,,
74,no_filter,no_filter_collision,True,False,0.9915728438124697,-0.00022502154752146453,343,0.7991513013839722,0.046597743520931316,0.0007360500942229962,0.0066069441189803855,False,,,,,,,,,
75,no_filter,no_filter_collision,True,False,0.9910784295513961,-0.00022578075004275888,342,0.8128046989440918,0.047532438534742205,0.00016686660895848102,0.006994989091895351,False,,,,,,,,,
76,no_filter,no_filter_collision,True,False,0.9914956587554168,-0.00022884442296344787,341,0.8342161178588867,0.04892763154597576,0.0008200815772455392,0.006669144973216328,False,,,,,,,,,
77,no_filter,no_filter_collision,True,False,0.9913716670825078,-0.0002254778373753652,338,0.8484904766082764,0.050206537077412794,0.0005442907302431447,0.006766747404476266,False,,,,,,,,,
78,no_filter,no_filter_collision,True,False,0.9914263347976684,-0.00023008605057839304,334,0.8556897640228271,0.05123890802531899,0.0006683936548480122,0.006722794983071801,False,,,,,,,,,
79,no_filter,no_filter_collision,True,False,0.9916492865158063,-0.00023180087737273425,329,0.8596463799476624,0.05225813859864209,0.0005500423955872179,0.006546993510703968,False,,,,,,,,,
80,no_filter,no_filter_collision,True,False,0.9912857705540719,-0.00022500139311887324,322,0.8639720678329468,0.05366286135608365,0.00035864248883985125,0.006832481358480183,False,,,,,,,,,
81,no_filter,no_filter_collision,True,False,0.9910692528556166,-0.00022498535690829158,314,0.8670380115509033,0.05522535105419766,0.00019540827074893564,0.007003590602241007,False,,,,,,,,,
82,no_filter,no_filter_collision,True,False,0.9916766998110706,-0.0002283864450873807,306,0.8646126985549927,0.05651063389248318,0.0004907794256409588,0.006527501258939199,False,,,,,,,,,
83,no_filter,no_filter_collision,True,False,0.9916382851766787,-0.00022501737112179399,296,0.8545881509780884,0.05774244263365462,0.0005989817394713646,0.006556532684202554,False,,,,,,,,,
84,no_filter,no_filter_collision,True,False,0.9916537387513781,-0.00023134850198403,285,0.8415907025337219,0.059058996669033116,0.0007872330483817253,0.0065434880571329235,False,,,,,,,,,
85,no_filter,no_filter_collision,True,False,0.9916774415026929,-0.00022501064813695848,273,0.8298462629318237,0.06079459801698342,0.0021277849990063965,0.006525446048919596,False,,,,,,,,,
86,no_filter,no_filter_collision,True,False,0.9933943881842588,-0.00022903751232661307,263,0.8206949234008789,0.062410260334667594,0.005180233047142884,0.005180233047142884,False,,,,,,,,,
87,no_filter,no_filter_collision,True,False,0.9966616924159696,-0.00022501112835016102,272,0.8238948583602905,0.06058050429119782,0.002335185377316061,0.002618037297048245,False,,,,,,,,,
88,no_filter,no_filter_collision,True,False,0.9910713904433075,-0.0002282026835018769,269,0.8263644576072693,0.06143973662507578,0.002241526697970519,0.007000970922661028,False,,,,,,,,,
89,no_filter,no_filter_collision,True,False,0.9915910282754177,-0.00022499753686133772,282,0.8383818864822388,0.05945970826115168,0.0008453692021011524,0.006592642461116827,False,,,,,,,,,
90,no_filter,no_filter_collision,True,False,0.9913831686089242,-0.00022694301151204854,293,0.8512043356895447,0.05810268503000305,0.0005842555241715971,0.0067562382890152236,False,,,,,,,,,
91,no_filter,no_filter_collision,True,False,0.9912225442523723,-0.00022952532162889838,303,0.8623643517494202,0.05692173938940067,0.00020432985205956201,0.006883478980533386,False,,,,,,,,,
92,no_filter,no_filter_collision,True,False,0.9911406969169411,-0.00022512231953442097,312,0.8670912981033325,0.055582775519444384,1.0244057792326592e-05,0.006947792845574919,False,,,,,,,,,
93,no_filter,no_filter_collision,True,False,0.9911540351626313,-0.00022769022325519472,320,0.8649996519088745,0.05406247824430466,2.9135694523619352e-05,0.0069360986811388085,False,,,,,,,,,
94,no_filter,no_filter_collision,True,False,0.9912899499416575,-0.00022783807071391493,327,0.8604251146316528,0.052625389274107204,0.0003692991614861644,0.006828681482493856,False,,,,,,,,,
95,no_filter,no_filter_collision,True,False,0.9915824605832747,-0.00023117841919884086,333,0.8568291664123535,0.05146121119593714,0.0007148197016888692,0.006600041355825637,False,,,,,,,,,
96,no_filter,no_filter_collision,True,False,0.9912995259967144,-0.00022684785653837025,337,0.8508330583572388,0.05049454352268479,0.0003847789218713584,0.006823153410853694,False,,,,,,,,,
97,no_filter,no_filter_collision,True,False,0.9911965135397826,-4.893536970485002e-05,340,0.8383157253265381,0.049312689725090474,0.0001356350437549124,0.00690398087602134,False,,,,,,,,,
98,no_filter,no_filter_collision,True,False,0.9912714260347324,-0.0002249798853881657,342,0.8187958598136902,0.047882798819514044,0.00032600818763247046,0.006843984709632173,False,,,,,,,,,
99,no_filter,no_filter_collision,True,False,0.9915435873732275,-0.00022564719256479293,343,0.7957420349121094,0.046398952473009285,0.0008072526454932067,0.006629827499389693,False,,,,,,,,,
0,safer_splat_filter,safer_collision_free_higher_progress,False,False,0.8150653908716482,0.0008511263877153397,325,0.6425270438194275,0.03954012577350323,0.14498873355662784,0.14498873355662784,True,0.04705862958783404,0.032945869284131485,59.58588957055215,3043.3312883435583,17591.539877300613,0.6411784749591145,0.003360839152291935,44306.41339398166,5.29177007701317e-09
1,safer_splat_filter,other,False,False,0.19687965977773483,0.0008069269824773073,114,0.17044025659561157,0.02990179940273887,0.6297183652618886,0.6297183652618886,False,,,,,,,,,
2,safer_splat_filter,other,False,False,0.19347984402805463,0.001313697430305183,104,0.18581140041351318,0.035732961617983304,0.6324993805713709,0.6324993805713709,False,,,,,,,,,
