gaussian_id,mean_x,mean_y,mean_z,scale_x,scale_y,scale_z,max_scale,min_scale,mean_scale,anisotropy,volume_proxy,opacity,distance_to_scene_center,color_or_sh_norm,rotation_q0,rotation_q1,rotation_q2,rotation_q3
36,0.2735656201839447,-0.13240651786327362,-0.012933177873492241,5.627209975500591e-05,0.0009011031361296773,0.00023235753178596497,0.0009011031361296773,5.627209975500591e-05,0.0003965775892235494,16.013319923245195,1.1782145363234004e-11,0.9992577433586121,0.33442324769408405,0.5391111373901367,-0.04739008843898773,0.07948759198188782,0.6536069512367249,-0.7647799253463745
37,0.2751865088939667,-0.11414951086044312,-0.07252942025661469,0.00022356070985551924,6.633092561969534e-05,0.000675089773721993,0.000675089773721993,6.633092561969534e-05,0.00032166046973240253,10.177602188043968,1.0010898704935583e-11,0.999887228012085,0.34437126971277643,0.6610099077224731,-0.19998709857463837,-0.8181993365287781,-0.7473961114883423,0.08586371690034866
38,0.03861435130238533,-0.09941946715116501,-0.05674540251493454,0.0014281758340075612,6.624696834478527e-05,0.00028729179757647216,0.0014281758340075612,6.624696834478527e-05,0.0005939048666429395,21.558357607770926,2.7181343274890458e-11,0.9999549388885498,0.14385950602410086,0.2758871614933014,-0.10429093986749649,-0.06303154677152634,-0.8898025751113892,-0.9842734336853027
39,0.27658358216285706,-0.11492361128330231,-0.06197892129421234,0.0016850072424858809,0.0017828643321990967,0.000994036323390901,0.0017828643321990967,0.000994036323390901,0.0014873026326919596,1.7935605472819245,2.9862235967790356e-09,0.9999760389328003,0.3426654981913549,1.1146045923233032,-0.588324785232544,-0.45749619603157043,0.6621658205986023,-0.20033611357212067
40,0.27798235416412354,-0.12366627156734467,-0.04574527218937874,0.00012274124310351908,8.298279135487974e-05,0.0017340584890916944,0.0017340584890916944,8.298279135487974e-05,0.0006465941745166978,20.896603509948385,1.766209835238375e-11,0.7687128782272339,0.34216361939659257,1.173557996749878,-1.053009271621704,-0.14137259125709534,0.024751730263233185,0.15656942129135132
41,0.2919173240661621,-0.42187249660491943,-0.16287624835968018,0.0007856207666918635,0.0007504443055950105,0.00044799046008847654,0.0007856207666918635,0.00044799046008847654,0.0006613518441251168,1.7536551259076056,2.6411933016863625e-10,0.9996473789215088,0.5559756608788019,1.1395283937454224,0.023487363010644913,0.1974271833896637,-0.34643805027008057,-1.2033324241638184
42,0.2929988503456116,-0.6284080743789673,-0.16424795985221863,0.013923893682658672,0.0008073604549281299,0.0026825175154954195,0.013923893682658672,0.0008073604549281299,0.005804590551027407,17.246192326695216,3.015579195490419e-08,0.9994164705276489,0.7200782915620645,0.7903001308441162,-0.5888108015060425,-0.5732123255729675,0.6149290204048157,0.32409700751304626
43,-0.26531365513801575,-0.4438440203666687,-0.04494073987007141,0.0005758065963163972,0.0002608437789604068,0.001848892425186932,0.001848892425186932,0.0002608437789604068,0.0008951809334879121,7.088121605030012,2.776954489582301e-10,0.4345254600048065,0.48677571764288285,0.7593541145324707,0.026860391721129417,1.4485132694244385,0.20213545858860016,-0.004212001338601112
44,-0.09146158397197723,-0.16678981482982635,-0.11417128145694733,0.007029875181615353,0.0014316197484731674,0.0006734991911798716,0.007029875181615353,0.0006734991911798716,0.003044998040422797,10.437837600517447,6.778168691766614e-09,0.9998476505279541,0.21634103406351127,0.14597423374652863,-0.6915724873542786,0.3602507710456848,-0.5960215330123901,-0.522784411907196
45,0.3588291108608246,-0.45250993967056274,-0.15375036001205444,0.0012150137918069959,0.00020934057829435915,0.005343043711036444,0.005343043711036444,0.00020934057829435915,0.002255799360379266,25.5232108106793,1.359012196644163e-09,0.9998621940612793,0.6161601962987958,1.2236849069595337,0.878066897392273,-0.09366543591022491,0.4518471360206604,0.3696698844432831
46,-0.07377424836158752,-0.4360468089580536,-0.0688970685005188,0.004160093143582344,0.002452708315104246,0.002830283949151635,0.004160093143582344,0.002452708315104246,0.003147695135946075,1.696122249010898,2.88787882507511e-08,0.9997734427452087,0.42951540727597404,0.006386938970535994,0.7827839255332947,-0.7899336218833923,0.09343861043453217,-0.18797877430915833
47,0.3266703486442566,-0.6024752855300903,-0.013525871559977531,0.001835149945691228,0.0008254296262748539,0.0013705355813726783,0.001835149945691228,0.0008254296262748539,0.00134370505111292,2.223266390344165,2.0760696651198654e-09,0.9802011847496033,0.6879402098400684,0.38633236289024353,-0.5196086764335632,0.3014187216758728,-0.8226399421691895,0.11494367569684982
48,0.05145571753382683,-0.09495708346366882,-0.0708874762058258,0.0007042984361760318,0.0014564135344699025,4.1610172047512606e-05,0.0014564135344699025,4.1610172047512606e-05,0.0007341073808978157,35.00138218142659,4.2681624605159625e-11,0.3890593349933624,0.15808509513128477,0.4212806522846222,0.5070399641990662,0.19257304072380066,0.07677881419658661,-0.9797060489654541
49,0.04189254716038704,-0.11980671435594559,-0.0486515611410141,0.0003425435861572623,0.0007258944096975029,0.00016037280147429556,0.0007258944096975029,0.00016037280147429556,0.0004096035991096869,4.526293754454671,3.9876773146478546e-11,0.9719484448432922,0.15285259960296457,1.5437322854995728,0.4735895097255707,0.13486658036708832,-0.9470447897911072,0.19056107103824615
50,-0.03322262689471245,-0.4183391034603119,-0.05217553302645683,0.0008919594692997634,0.00042601238237693906,0.0009945782367140055,0.0009945782367140055,0.00042601238237693906,0.0007708500294635693,2.3346228369343383,3.779255855569908e-10,0.994839608669281,0.4069303229016523,0.749488890171051,-0.6816654205322266,0.09399373829364777,-0.4116135835647583,0.7126415371894836
51,0.27611634135246277,-0.08600541949272156,-0.04653353616595268,0.0005545994499698281,0.00022306598839350045,0.0001367025397485122,0.0005545994499698281,0.0001367025397485122,0.00030478932603728026,4.056979855605529,1.6911782118115586e-11,0.9999817609786987,0.3312638032957741,0.7032515406608582,-0.7169507741928101,-0.001014562207274139,-0.7336409687995911,0.1434774100780487
52,0.06450279802083969,-0.1362811028957367,-0.07225286960601807,0.0019977218471467495,0.00033566230558790267,0.0017994162626564503,0.0019977218471467495,0.00033566230558790267,0.0013776001384637009,5.951582331080633,1.2066164271788277e-09,0.24392159283161163,0.1886472486292624,0.12166249006986618,-0.07559888064861298,0.5295513272285461,0.6014561057090759,-0.6344298720359802
53,0.4271823763847351,-0.6638541221618652,0.12090373039245605,0.009674379602074623,0.004225276876240969,0.000992164365015924,0.009674379602074623,0.000992164365015924,0.0049639402811105056,9.750783179881038,4.055663570287512e-08,0.9625850319862366,0.7977120820949952,0.2878822386264801,-0.45845893025398254,0.995988667011261,-0.05571124330163002,0.1396808922290802
