method,trial,step,time_s,x,y,z,vx,vy,vz,signed_clearance_m,active_pool_size
safer_splat_filter,53,19,0.9500000000000001,-0.03238127380609512,-0.00661127595230937,-0.015671826899051666,0.08205197751522064,0.08205197751522064,-0.08101507276296616,0.22044256329536438,96
safer_splat_filter,53,20,1.0,-0.02827867493033409,-0.002508677076548338,-0.019722580909729004,0.08432886004447937,0.08432886004447937,-0.08163874596357346,0.21588090062141418,96
safer_splat_filter,53,21,1.05,-0.024062231183052063,0.001707766205072403,-0.023804519325494766,0.08646909892559052,0.0864691212773323,-0.08146592229604721,0.21131868660449982,96
safer_splat_filter,53,22,1.1,-0.019738776609301567,0.006031222175806761,-0.027877815067768097,0.08727790415287018,0.08824443817138672,-0.08052705973386765,0.20653648674488068,96
safer_splat_filter,53,23,1.1500000000000001,-0.015374881215393543,0.010443444363772869,-0.03190416842699051,0.08781437575817108,0.08989238739013672,-0.0789579302072525,0.2016277313232422,96
safer_splat_filter,53,24,1.2000000000000002,-0.010984161868691444,0.01493806391954422,-0.035852063447237015,0.08833692967891693,0.09068198502063751,-0.07684162259101868,0.19680291414260864,96
safer_splat_filter,53,25,1.25,-0.006567315198481083,0.019472163170576096,-0.03969414532184601,0.08872456103563309,0.09059276431798935,-0.07417938113212585,0.19206474721431732,96
safer_splat_filter,53,26,1.3,-0.002131087239831686,0.024001801386475563,-0.04340311512351036,0.08900641649961472,0.08971542865037918,-0.07112886011600494,0.1871519684791565,96
safer_splat_filter,53,27,1.35,0.0023192334920167923,0.028487572446465492,-0.04695955663919449,0.08908259868621826,0.0881296768784523,-0.06775025278329849,0.1822500228881836,96
safer_splat_filter,53,28,1.4000000000000001,0.006773363333195448,0.03289405629038811,-0.050347067415714264,0.08895076811313629,0.08592768758535385,-0.06410630792379379,0.17739591002464294,96
safer_splat_filter,53,29,1.4500000000000002,0.01122090220451355,0.03719044104218483,-0.053552381694316864,0.08864570409059525,0.0832008644938469,-0.0602593757212162,0.1726691871881485,96
safer_splat_filter,53,30,1.5,0.015653187409043312,0.041350483894348145,-0.05656535178422928,0.08815428614616394,0.08003399521112442,-0.05626118555665016,0.16807276010513306,96
safer_splat_filter,53,31,1.55,0.02006090246140957,0.045352183282375336,-0.05937841162085533,0.0875299796462059,0.07650953531265259,-0.0521635040640831,0.16360944509506226,96
safer_splat_filter,53,32,1.6,0.024437401443719864,0.049177661538124084,-0.061986587941646576,0.08679723739624023,0.07270211726427078,-0.04801355302333832,0.1592782437801361,96
safer_splat_filter,53,33,1.6500000000000001,0.028777264058589935,0.052812766283750534,-0.0643872618675232,0.08597331494092941,0.06868033111095428,-0.043854545801877975,0.15507595241069794,96
safer_splat_filter,53,34,1.7000000000000002,0.033075928688049316,0.05624678358435631,-0.06657999008893967,0.08506413549184799,0.06450741738080978,-0.03972569853067398,0.15099751949310303,96
safer_splat_filter,53,35,1.75,0.037329137325286865,0.05947215482592583,-0.06856627762317657,0.08407282829284668,0.06024155020713806,-0.03566236421465874,0.14703699946403503,96
