scene,method,trial,checkpoint,gaussian_count,success,collision,collision_free,stop_reason,min_safety_h,min_safety_h_note,goal_distance_reduction_ratio,initial_goal_distance,final_goal_distance,closest_goal_distance,closest_goal_step,num_steps,runtime_mean,runtime_p95,intervention_rate,control_deviation_mean,control_deviation_max,active_constraints_mean,active_constraints_p95,qp_infeasible_count,seconds_total,error,success_definition
stonehenge,safer_splat_filter,0,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008511263877153397,official GSplatLoader.query_distance safety h value; not meters,0.8150653908716482,0.784,0.14498873355662784,0.14498873355662784,325,325,0.06062971264410477,0.07055210508406162,0.9046153846153846,0.02506676092467719,0.07492418587207794,316.7938461538462,485.0,0,26.667489632964134,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,31,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.001019556075334549,official GSplatLoader.query_distance safety h value; not meters,0.07210085240661754,0.7841376473498586,0.7276006545718141,0.7276006545718141,47,47,0.06724737172431135,0.08601578259840606,0.9361702127659575,0.08383110617248658,0.11367446929216385,447.1914893617021,575.5999999999999,0,4.187472805380821,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,32,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0005807853303849697,official GSplatLoader.query_distance safety h value; not meters,0.08056158386257363,0.7842519276083273,0.721071350172924,0.721071350172924,62,62,0.06769477488893655,0.0769254838116467,0.967741935483871,0.09315925730212987,0.1153976321220398,422.98387096774195,593.2499999999999,0,5.552571387030184,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,33,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0011311457492411137,official GSplatLoader.query_distance safety h value; not meters,0.07042617562664219,0.7841913031907456,0.7289637087473487,0.7289637087473487,48,48,0.06393467182836805,0.07002516100183129,0.9583333333333334,0.08950798156011021,0.11898685991764069,506.7083333333333,635.1999999999999,0,4.1374867698177695,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,34,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0009176190942525864,official GSplatLoader.query_distance safety h value; not meters,0.07623937878241495,0.7840410053802598,0.7242662061901287,0.7242662061901287,48,48,0.06572983571095392,0.07165419016964733,0.9375,0.08362229042828197,0.11369435489177704,527.2708333333334,671.85,0,4.1786500941962,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,35,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0011636080453172326,official GSplatLoader.query_distance safety h value; not meters,0.06285087712794875,0.7840123817213237,0.7347365158509663,0.7347365158509663,43,43,0.06406282860958992,0.07330219019204377,0.9302325581395349,0.0872847341545191,0.11647442728281021,495.3488372093023,656.8999999999999,0,3.6977436570450664,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,36,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0013319343561306596,official GSplatLoader.query_distance safety h value; not meters,0.05577939173070524,0.7841456898865509,0.7404065202764248,0.7404065202764248,38,38,0.06488021661674506,0.06868537580594421,0.9473684210526315,0.08722490134468842,0.11640217900276184,549.3157894736842,676.6999999999999,0,3.293504516594112,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,37,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0011701456969603896,official GSplatLoader.query_distance safety h value; not meters,0.06655831822111713,0.7842534588879638,0.7320548676052869,0.7320548676052869,43,43,0.06482610307893781,0.06772700464352965,0.9302325581395349,0.08629964390028615,0.11481907218694687,538.4651162790698,691.6,0,3.7220649467781186,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,38,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0013058794429525733,official GSplatLoader.query_distance safety h value; not meters,0.06133359753361773,0.7841841705380959,0.7360873342300784,0.7360873342300784,41,41,0.06482641591985779,0.07049443200230598,0.926829268292683,0.08722768394709213,0.11678853631019592,594.9024390243902,725.0,0,3.525089457631111,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,39,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0009159088367596269,official GSplatLoader.query_distance safety h value; not meters,0.0707787321058832,0.7840352372134679,0.7285422171971633,0.7285422171971633,48,48,0.06443499583595742,0.069073999626562,0.9375,0.0877643699611151,0.11605600267648697,650.375,827.6,0,4.11982524767518,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,safer_splat_filter,40,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.001266765990294516,official GSplatLoader.query_distance safety h value; not meters,0.0648227103692475,0.7840160904755629,0.7331940425178357,0.7331940425178357,42,42,0.062268102585914586,0.06552845072001219,0.9285714285714286,0.08546516094744575,0.11646158248186111,533.3571428571429,705.3499999999997,0,3.493176710791886,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
